"Timestamp","Name","Message"
"2025/11/19 2:38:10 PM GMT+1","Martin","Wow, love this website"
"2025/11/19 2:58:45 PM GMT+1","Fede","Well, the content is nice, but the graphics ughhh, I dont know. It could be bettetr"
"2025/11/20 6:49:14 PM GMT+1","Krosis Irkbaan","god damn. "
"2025/11/20 9:48:55 PM GMT+1","Just passing thru","Smelling the flowers, twirling the bandmembers"
"2025/11/24 12:07:42 AM GMT+1","walnusskern","very coool!"
"2025/11/30 4:18:40 PM GMT+1","cheeky little princess","ok fine you can come in"
"2025/12/21 5:31:18 PM GMT+1","Mikey","Mysteriously fun."
"2026/01/07 2:19:41 PM GMT+1","Andrew Higgins","Cool music. Keep the faith. Success will follow..."
"2026/01/12 2:52:07 AM GMT+1","Muy chingona la página","Luis"
"2026/02/21 7:09:02 AM GMT+1","Ronnie","friggin fuck yea man spins"
